referentienummer,identifier
DMG-A-02203,Q1752934
DMG-A-02204,Q2163380
DMG-A-02207,Q55590207
DMG-A-02208,Q12355544
DMG-A-02212,Q115711
DMG-A-02213,Q98057139
DMG-A-02219,Q42912678
DMG-A-02220,Q2865056
DMG-A-02222,Q2144884
DMG-A-02226,Q30106581
DMG-A-02227,Q14291967
DMG-A-02228,Q3371423
DMG-A-02230,Q41187
DMG-A-02231,Q19630987
DMG-A-02237,Q5585139
DMG-A-02243,Q842120
DMG-A-02245,Q3300528
DMG-A-02248,Q2403906
DMG-A-02250,Q2161208
DMG-A-02253,Q3766034
DMG-A-02258,Q2482407
DMG-A-02259,Q1267215
DMG-A-02267,Q2656169
DMG-A-02270,Q77353789
DMG-A-02280,Q22237377
DMG-A-02281,Q74035
DMG-A-02282,Q5367640
DMG-A-02283,Q59928942
DMG-A-02286,Q33233235
DMG-A-02288,Q55257541
DMG-A-02290,Q29559642
DMG-A-02303,Q55219389
DMG-A-02304,Q2669966
DMG-A-02307,Q56331498
DMG-A-02308,Q19903482
DMG-A-02310,Q50827099
DMG-A-02314,Q29422195
DMG-A-02319,Q21544427
DMG-A-02321,Q11298874
DMG-A-02322,Q19976172
DMG-A-02329,Q2409876
DMG-A-02335,Q65178769
DMG-A-02350,Q32244
DMG-A-02351,Q273511
DMG-A-02360,Q48842786
DMG-A-02363,Q22235873
DMG-A-02364,Q50226944
DMG-A-02367,Q5799578
DMG-A-02372,Q1635393
DMG-A-02373,Q3298792
DMG-A-02378,Q2655644
DMG-A-02384,Q1356269
DMG-A-02385,Q356212
DMG-A-02390,Q2644272
DMG-A-02391,Q9375866
DMG-A-02401,Q42020774
DMG-A-02402,Q29436061
DMG-A-02405,Q58875626
DMG-A-02415,Q2394589
DMG-A-02417,Q20030532
DMG-A-02430,Q1780019
DMG-A-02432,Q29421990
DMG-A-02444,Q64390933
DMG-A-02451,Q5641221
DMG-A-02455,Q2437951
DMG-A-02466,Q53109183
DMG-A-02467,Q22237332
DMG-A-02473,Q11772249
DMG-A-02474,Q22235973
DMG-A-02476,Q3571512
DMG-A-02480,Q613380
DMG-A-02483,Q595279
DMG-A-02484,Q5577
DMG-A-02487,Q18190973
DMG-A-02489,Q29961738
DMG-A-02492,Q1715581
DMG-A-02500,Q2870056
DMG-A-02502,Q614819
DMG-A-02506,Q1920364
DMG-A-02512,Q20128329
DMG-A-02519,Q2884871
DMG-A-02523,Q15730008
DMG-A-02524,Q2854167
DMG-A-02533,Q16596474
DMG-A-02555,Q2320099
DMG-A-02562,Q5690163
DMG-A-02565,Q3260427
DMG-A-02569,Q19952292
DMG-A-02571,Q2282871
DMG-A-02572,Q740553
DMG-A-02575,Q3072535
DMG-A-02578,Q1032732
DMG-A-02585,Q28927490
DMG-A-02589,Q16987629
DMG-A-02591,Q2317563
DMG-A-02597,Q2698552
DMG-A-02598,Q22235775
DMG-A-02621,Q1620330
DMG-A-02630,Q2235462
DMG-A-02631,Q52224463
DMG-A-02632,Q104898
DMG-A-02635,Q3432973
DMG-A-02638,Q1811565
DMG-A-02646,Q3090303
DMG-A-02655,Q565558
DMG-A-02656,Q2275331
DMG-A-02667,Q15874978
DMG-A-02672,Q3646786
DMG-A-02674,Q52607933
DMG-A-02682,Q4378642
DMG-A-02686,Q8313704
DMG-A-02688,Q420389
DMG-A-02690,Q159614
DMG-A-02691,Q695230
DMG-A-02693,Q170345
DMG-A-02694,Q3560732
DMG-A-02698,Q43138125
DMG-A-02712,Q16266485
DMG-A-02717,Q55236250
DMG-A-02718,Q2646339
DMG-A-02722,Q315176
DMG-A-02724,Q1505178
DMG-A-02726,Q1615108
DMG-A-02728,Q9159291
DMG-A-02734,Q3308417
DMG-A-02735,Q1843743
DMG-A-02737,Q2426252
DMG-A-02748,Q2679383
DMG-A-02750,Q559559
DMG-A-02751,Q1855119
