url;referentienummer;identifier
https://nl.wikipedia.org/wiki/Renaat_Braem;DMG-A-01539;Q1965216
https://nl.wikipedia.org/wiki/Bang_%26_Olufsen;DMG-A-01545;Q790020
https://nl.wikipedia.org/wiki/Gerrit_Rietveld;DMG-A-01546;Q160435
https://nl.wikipedia.org/wiki/Henry_Dreyfuss;DMG-A-01547;Q940346
https://nl.wikipedia.org/wiki/Xavier_Lust;DMG-A-01548;Q2393773
https://nl.wikipedia.org/wiki/Charlotte_Perriand;DMG-A-01550;Q446451
https://nl.wikipedia.org/wiki/Pierre_Paulin;DMG-A-01552;Q2026435
https://nl.wikipedia.org/wiki/Gijs_Bakker;DMG-A-01553;Q5560404
https://nl.wikipedia.org/wiki/Colani;DMG-A-01554;Q61130
https://nl.wikipedia.org/wiki/Tejo_Remy;DMG-A-01560;Q3517213
https://nl.wikipedia.org/wiki/Hella_Jongerius;DMG-A-01561;Q924426
https://nl.wikipedia.org/wiki/Elisabeth_De_Saedeleer;DMG-A-01564;Q43266283
https://nl.wikipedia.org/wiki/Tupperware;DMG-A-01566;Q1129117
https://nl.wikipedia.org/wiki/Blaupunkt;DMG-A-01572;Q693304
https://nl.wikipedia.org/wiki/Jacob_Jensen;DMG-A-01573;Q476012
https://nl.wikipedia.org/wiki/Eero_Aarnio;DMG-A-01579;Q707025
https://nl.wikipedia.org/wiki/Charles_en_Ray_Eames;DMG-A-01601;Q14634037
https://nl.wikipedia.org/wiki/Roger_Somville;DMG-A-01607;Q3439464
https://nl.wikipedia.org/wiki/Krups;DMG-A-01608;Q1790254
https://nl.wikipedia.org/wiki/Siemens_AG;DMG-A-01611;Q81230
https://nl.wikipedia.org/wiki/IKEA;DMG-A-01616;Q54078
https://nl.wikipedia.org/wiki/Peter_Struycken;DMG-A-01640;Q2706817
https://nl.wikipedia.org/wiki/Delheid_Fr%C3%A8res;DMG-A-01647;Q2780365
https://nl.wikipedia.org/wiki/C%C3%A9line_Dangotte;DMG-A-01659;Q47514867
https://nl.wikipedia.org/wiki/Marimekko;DMG-A-01674;Q534903
https://nl.wikipedia.org/wiki/Apple_Inc.;DMG-A-01680;Q312
https://nl.wikipedia.org/wiki/Hewlett-Packard;DMG-A-01681;Q80978
https://nl.wikipedia.org/wiki/Christian_Dior;DMG-A-01690;Q159694
https://nl.wikipedia.org/wiki/Electrolux_(firma);DMG-A-01691;Q505922
https://nl.wikipedia.org/wiki/Electrolux_(firma);DMG-A-01692;Q505922
https://nl.wikipedia.org/wiki/Tord_Boontje;DMG-A-01706;Q1432402
https://nl.wikipedia.org/wiki/Michel_Seuphor;DMG-A-01713;Q548860
https://nl.wikipedia.org/wiki/W%C3%A4rtsil%C3%A4;DMG-A-01741;Q327429
https://nl.wikipedia.org/wiki/Artifort;DMG-A-01757;Q28758291
https://nl.wikipedia.org/wiki/IBM;DMG-A-01766;Q37156
https://nl.wikipedia.org/wiki/Van_Den_Berghe_-_Pauvers;DMG-A-01775;Q4026750
https://nl.wikipedia.org/wiki/Wedgwood;DMG-A-01776;Q595544
https://nl.wikipedia.org/wiki/Koninklijke_Van_Kempen_%26_Begeer;DMG-A-01779;Q13745166
https://nl.wikipedia.org/wiki/Ed_Annink;DMG-A-01780;Q15874769
https://nl.wikipedia.org/wiki/Piet_Hein_Eek;DMG-A-01781;Q2368598
https://nl.wikipedia.org/wiki/Plateelbakkerij_Zuid-Holland;DMG-A-01787;Q2189769
https://nl.wikipedia.org/wiki/Regina_(aardewerkfabriek);DMG-A-01788;Q2932754
https://nl.wikipedia.org/wiki/Eerste_Steenwijker_Kunst_Aardewerk_Fabriek;DMG-A-01789;Q2018183
https://nl.wikipedia.org/wiki/Koninklijke_Sphinx;DMG-A-01790;Q2738000
https://nl.wikipedia.org/wiki/Roberto_Matta;DMG-A-01794;Q450236
https://nl.wikipedia.org/wiki/Maarten_Baas;DMG-A-01800;Q2021873
https://nl.wikipedia.org/wiki/Javier_Mariscal;DMG-A-01804;Q738017
https://nl.wikipedia.org/wiki/Hendrik_Petrus_Berlage;DMG-A-01810;Q318816
https://nl.wikipedia.org/wiki/Max_Bill;DMG-A-01811;Q123454
https://nl.wikipedia.org/wiki/Michael_Thonet;DMG-A-01815;Q60229
https://nl.wikipedia.org/wiki/Siegfried_Bing;DMG-A-01828;Q66112
https://nl.wikipedia.org/wiki/Koninklijke_Sphinx;DMG-A-01829;Q2738000
https://nl.wikipedia.org/wiki/Soci%C3%A9t%C3%A9_C%C3%A9ramique;DMG-A-01830;Q2611341
https://nl.wikipedia.org/wiki/Th%C3%A9o_van_Rysselberghe;DMG-A-01831;Q671883
https://nl.wikipedia.org/wiki/Oiva_Toikka;DMG-A-01836;Q11885212
https://nl.wikipedia.org/wiki/Rem_Koolhaas;DMG-A-01845;Q232364
https://nl.wikipedia.org/wiki/Alain_Berteau;DMG-A-01847;Q1855386
https://nl.wikipedia.org/wiki/Pastoe;DMG-A-01850;Q2180083
https://nl.wikipedia.org/wiki/Koninklijke_Tichelaar_Makkum;DMG-A-01866;Q2505653
https://nl.wikipedia.org/wiki/Milan_Kunc;DMG-A-01868;Q329041
https://nl.wikipedia.org/wiki/Schmidt_Spiel_%26_Freizeit_GmbH;DMG-A-01872;Q882160
https://nl.wikipedia.org/wiki/Kris_Burm;DMG-A-01874;Q967718
https://nl.wikipedia.org/wiki/Panasonic;DMG-A-01884;Q833266
https://nl.wikipedia.org/wiki/Alcatel;DMG-A-01886;Q885235
https://nl.wikipedia.org/wiki/Casio;DMG-A-01890;Q217338
https://nl.wikipedia.org/wiki/%27t_Binnenhuis;DMG-A-01942;Q2745889
